epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,594.267,2.11668,2.84942,1.6103,0.63226,0.67789,0.67578,0.26979,1.95169,2.01626,1.40795,0.000664336,0.000664336,0.000664336
2,1136.1,2.01128,1.88167,1.54558,0.43463,0.38767,0.31583,0.10449,2.35774,2.12184,1.58131,0.00130465,0.00130465,0.00130465
3,1676.01,2.01666,1.74094,1.55967,0.68599,0.62074,0.64863,0.23345,2.08808,1.57768,1.46271,0.00191856,0.00191856,0.00191856
4,2213.18,1.96567,1.63714,1.51176,0.72989,0.70705,0.73916,0.25643,2.0587,1.82165,1.44386,0.0018812,0.0018812,0.0018812
5,2748.58,1.92639,1.52145,1.47937,0.77497,0.76211,0.78147,0.30962,1.94239,1.33638,1.38862,0.0018416,0.0018416,0.0018416
6,3283.93,1.88835,1.46601,1.46814,0.71715,0.70924,0.70298,0.22662,2.20204,1.32162,1.53445,0.001802,0.001802,0.001802
7,3822.2,1.87146,1.40492,1.45857,0.78554,0.75841,0.81531,0.30709,1.95519,1.2702,1.38186,0.0017624,0.0017624,0.0017624
8,4360.33,1.84124,1.37168,1.42556,0.73106,0.76652,0.72994,0.25622,2.05574,1.31647,1.45451,0.0017228,0.0017228,0.0017228
9,4898.03,1.80387,1.34134,1.40223,0.75907,0.7533,0.77192,0.29883,1.99106,1.22155,1.39771,0.0016832,0.0016832,0.0016832
10,5434.44,1.80111,1.29866,1.39592,0.79243,0.75682,0.79528,0.31988,1.9361,1.25902,1.34746,0.0016436,0.0016436,0.0016436
11,5974.19,1.77715,1.25991,1.38744,0.74884,0.75551,0.74974,0.25858,2.11226,1.19955,1.44094,0.001604,0.001604,0.001604
12,6514.68,1.76202,1.25238,1.38199,0.79391,0.7552,0.78808,0.33473,1.83689,1.2346,1.30346,0.0015644,0.0015644,0.0015644
13,7055.61,1.75824,1.20861,1.37916,0.78641,0.77753,0.79367,0.32597,1.96247,1.17124,1.35007,0.0015248,0.0015248,0.0015248
14,7597.8,1.73262,1.17291,1.37432,0.78049,0.80837,0.81561,0.30893,1.96711,1.13499,1.39303,0.0014852,0.0014852,0.0014852
15,8141.02,1.74055,1.17084,1.36282,0.71963,0.77093,0.69757,0.28894,1.91645,1.20056,1.34486,0.0014456,0.0014456,0.0014456
16,8683.57,1.70861,1.14132,1.34999,0.79927,0.75426,0.78234,0.31832,1.93749,1.14655,1.33803,0.001406,0.001406,0.001406
17,9225.91,1.69906,1.10117,1.33752,0.81835,0.84349,0.85994,0.34883,1.94394,1.07036,1.36024,0.0013664,0.0013664,0.0013664
18,9768,1.69629,1.11496,1.34464,0.80727,0.81278,0.82839,0.30219,2.05784,1.11092,1.43293,0.0013268,0.0013268,0.0013268
19,10309.6,1.67846,1.08253,1.32639,0.84209,0.79956,0.83565,0.35609,1.89575,1.09165,1.30357,0.0012872,0.0012872,0.0012872
