epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.6401,1.68182,3.18687,1.38003,0.00561,0.94118,0.009,0.00489,1.23274,3.57388,1.04017,0.0005,0.0005,0.0005
2,49.2924,1.49947,2.06988,1.21733,0.00544,0.91176,0.29054,0.16587,1.19643,3.34178,1.09127,0.0010099,0.0010099,0.0010099
3,74.0752,1.45174,1.81926,1.21421,1,0.34593,0.45678,0.26847,1.55418,2.82896,1.22731,0.00150951,0.00150951,0.00150951
4,98.69,1.36618,1.62409,1.17741,0.95595,0.63852,0.81625,0.47142,1.42011,2.13195,1.1717,0.0019406,0.0019406,0.0019406
5,123.555,1.35236,1.63324,1.17668,0.79961,0.70423,0.77329,0.42153,1.61358,2.04137,1.30034,0.0019208,0.0019208,0.0019208
6,148.693,1.34281,1.50247,1.14508,0.72048,0.73529,0.74863,0.42216,1.47779,1.70295,1.22687,0.001901,0.001901,0.001901
7,172.09,1.35857,1.43451,1.15165,0.80098,0.76471,0.83438,0.4721,1.4519,1.59219,1.31481,0.0018812,0.0018812,0.0018812
8,196.935,1.40728,1.34326,1.16815,0.7482,0.7867,0.80039,0.43384,1.41723,1.59957,1.36461,0.0018614,0.0018614,0.0018614
9,220.407,1.25799,1.3652,1.15643,0.83133,0.72506,0.79555,0.51138,1.3234,1.51933,1.35324,0.0018416,0.0018416,0.0018416
10,243.431,1.32413,1.28602,1.13278,0.92245,0.70588,0.82535,0.47898,1.49095,1.57818,1.25728,0.0018218,0.0018218,0.0018218
11,267.642,1.27462,1.17737,1.12257,0.91928,0.67015,0.78988,0.45876,1.42282,1.65418,1.24889,0.001802,0.001802,0.001802
12,292.05,1.23439,1.0785,1.12396,0.79663,0.82353,0.77318,0.42273,1.48723,1.60485,1.4126,0.0017822,0.0017822,0.0017822
